t(s)	Capacity(Ah)	Voltage(V)
0	0	4.15307
0.1	2.17014e-05	4.03104
0.3	6.51042e-05	4.02921
0.7	0.00015191	4.02664
1.5	0.000325521	4.02268
3.1	0.000672743	4.01628
6.3	0.00136719	4.00559
12.7	0.00275608	3.98511
19.1	0.00414497	3.95901
22.3	0.00483941	3.94332
25.5	0.00553385	3.92865
28.7	0.0062283	3.91762
35.1	0.00761719	3.90355
41.5	0.00900608	3.89221
47.9	0.010395	3.88197
54.3	0.0117839	3.87213
60.7	0.0131727	3.86241
67.1	0.0145616	3.85273
73.5	0.0159505	3.84309
79.9	0.0173394	3.83357
86.3	0.0187283	3.82411
92.7	0.0201172	3.81467
99.1	0.0215061	3.80527
105.5	0.022895	3.7959
111.9	0.0242839	3.7865
118.3	0.0256727	3.77699
124.7	0.0270616	3.76734
131.1	0.0284505	3.75765
137.5	0.0298394	3.74812
150.3	0.0326172	3.73025
163.1	0.035395	3.7132
175.9	0.0381727	3.69699
188.7	0.0409505	3.68146
201.5	0.0437283	3.66652
214.3	0.0465061	3.65211
227.1	0.0492839	3.63828
239.9	0.0520616	3.62513
252.7	0.0548394	3.61276
265.5	0.0576172	3.60132
278.3	0.060395	3.59094
291.1	0.0631727	3.58171
303.9	0.0659505	3.57359
316.7	0.0687283	3.56638
329.5	0.0715061	3.55984
342.3	0.0742839	3.5537
355.1	0.0770616	3.54771
367.9	0.0798394	3.54171
380.7	0.0826172	3.53556
393.5	0.085395	3.52913
406.3	0.0881727	3.52228
419.1	0.0909505	3.51488
431.9	0.0937283	3.50678
444.7	0.0965061	3.49785
457.5	0.0992839	3.48788
470.3	0.102062	3.4767
483.1	0.104839	3.4641
495.9	0.107617	3.44987
508.7	0.110395	3.43382
521.5	0.113173	3.41579
534.3	0.115951	3.39569
547.1	0.118728	3.37348
559.9	0.121506	3.34912
572.7	0.124284	3.32249
585.5	0.127062	3.29338
598.3	0.129839	3.26134
611.1	0.132617	3.22568
623.9	0.135395	3.18543
636.7	0.138173	3.13927
649.5	0.140951	3.08541
662.3	0.143728	3.0215
668.7	0.145117	2.98468
675.1	0.146506	2.94419
681.5	0.147895	2.89933
687.9	0.149284	2.84914
694.3	0.150673	2.7922
700.7	0.152062	2.7259
707.1	0.153451	2.64399
710.3	0.154145	2.5923
713.5	0.154839	2.52818
716.7	0.155534	2.44295
