t(s)	Capacity(Ah)	Voltage(V)
0	0	4.15307
0.1	4.34028e-06	4.12604
0.3	1.30208e-05	4.12564
0.7	3.03819e-05	4.12507
1.5	6.51042e-05	4.12418
3.1	0.000134549	4.12278
6.3	0.000273438	4.12056
12.7	0.000551215	4.11713
25.5	0.00110677	4.11182
51.1	0.00221788	4.10311
102.3	0.0044401	4.08703
127.9	0.00555122	4.07881
153.5	0.00666233	4.07039
179.1	0.00777344	4.06182
204.7	0.00888455	4.05297
230.3	0.00999566	4.04341
255.9	0.0111068	4.0326
281.5	0.0122179	4.02068
307.1	0.013329	4.00853
358.3	0.0155512	3.98725
409.5	0.0177734	3.97073
460.7	0.0199957	3.95725
511.9	0.0222179	3.94515
563.1	0.0244401	3.93369
614.3	0.0266623	3.92264
665.5	0.0288845	3.91188
716.7	0.0311068	3.9013
767.9	0.033329	3.89087
819.1	0.0355512	3.88058
870.3	0.0377734	3.87043
921.5	0.0399957	3.86042
1000	0.0434028	3.84549
1051.2	0.045625	3.83434
1102.4	0.0478472	3.82502
1153.6	0.0500694	3.81628
1256	0.0545139	3.79971
1358.4	0.0589583	3.78451
1460.8	0.0634028	3.77035
1563.2	0.0678472	3.75664
1665.6	0.0722917	3.74373
1768	0.0767361	3.73275
1870.4	0.0811806	3.72431
1972.8	0.085625	3.71786
2000	0.0868056	3.71633
2102.4	0.09125	3.71214
2307.2	0.100139	3.69934
2512	0.109028	3.67658
2716.8	0.117917	3.63389
2819.2	0.122361	3.60423
2921.6	0.126806	3.57207
3000	0.130208	3.54436
3102.4	0.134653	3.51749
3204.8	0.139097	3.48783
3307.2	0.143542	3.45357
3409.6	0.147986	3.41022
3512	0.152431	3.3458
3614.4	0.156875	3.23039
3716.8	0.161319	2.99697
3768	0.163542	2.79169
3793.6	0.164653	2.58386
3806.4	0.165208	2.35368
