t(s)	Capacity(Ah)	Voltage(V)
0	0	4.15307
0.1	3.25521e-05	3.98448
0.3	9.76563e-05	3.9818
0.7	0.000227865	3.97805
1.5	0.000488281	3.97227
3.1	0.00100911	3.96266
6.3	0.00205078	3.94402
12.7	0.00413411	3.89493
19.1	0.00621745	3.85407
25.5	0.00830078	3.8299
31.9	0.0103841	3.80846
38.3	0.0124674	3.78889
44.7	0.0145508	3.76956
51.1	0.0166341	3.75109
57.5	0.0187174	3.73381
63.9	0.0208008	3.71664
70.3	0.0228841	3.69921
76.7	0.0249674	3.68267
83.1	0.0270508	3.66749
89.5	0.0291341	3.65313
95.9	0.0312174	3.6392
102.3	0.0333008	3.62578
108.7	0.0353841	3.6129
115.1	0.0374674	3.60033
121.5	0.0395508	3.58788
127.9	0.0416341	3.57571
134.3	0.0437174	3.56404
140.7	0.0458008	3.55283
147.1	0.0478841	3.54205
153.5	0.0499674	3.53184
159.9	0.0520508	3.52236
166.3	0.0541341	3.51362
172.7	0.0562174	3.50551
179.1	0.0583008	3.49798
185.5	0.0603841	3.49098
191.9	0.0624674	3.48433
198.3	0.0645508	3.47779
204.7	0.0666341	3.4713
211.1	0.0687174	3.46484
217.5	0.0708008	3.45832
223.9	0.0728841	3.45165
230.3	0.0749674	3.44481
236.7	0.0770508	3.43779
243.1	0.0791341	3.43053
249.5	0.0812174	3.42296
255.9	0.0833008	3.41504
262.3	0.0853841	3.40675
268.7	0.0874674	3.398
275.1	0.0895508	3.38869
281.5	0.0916341	3.37877
287.9	0.0937174	3.36817
294.3	0.0958008	3.35678
300.7	0.0978841	3.34446
307.1	0.0999674	3.33115
313.5	0.102051	3.31676
319.9	0.104134	3.30113
326.3	0.106217	3.28413
332.7	0.108301	3.26567
339.1	0.110384	3.24564
345.5	0.112467	3.22388
351.9	0.114551	3.20024
358.3	0.116634	3.17458
364.7	0.118717	3.14672
371.1	0.120801	3.11637
377.5	0.122884	3.08323
383.9	0.124967	3.04694
390.3	0.127051	3.00703
396.7	0.129134	2.96291
403.1	0.131217	2.91386
409.5	0.133301	2.85899
415.9	0.135384	2.79697
422.3	0.137467	2.72548
428.7	0.139551	2.63907
435.1	0.141634	2.52113
441.5	0.143717	2.31111
