# Based on the Artemis Motorway drive cycle,
# time [s],current [A]
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0.000153
8,0
9,0
10,0.003357
11,0.253758
12,0.683757
13,0.876478
14,0.522011
15,0.834821
16,1.07393
17,1.834745
18,1.837186
19,1.539788
20,0.515755
21,0.380255
22,0.922713
23,0.216678
24,0.028992
25,0.995346
26,0.426642
27,1.013504
28,0.840009
29,0.913405
30,1.553063
31,-0.156252
32,-0.07187
33,-0.155032
34,-0.074006
35,-0.249027
36,-0.333867
37,-0.911421
38,-0.796216
39,-0.463722
40,-0.16495
41,0.711681
42,1.037919
43,1.175555
44,1.618067
45,1.236591
46,1.324331
47,0.782635
48,0.236667
49,-0.150607
50,-0.324407
51,0.023499
52,0.201419
53,0.461128
54,0.207065
55,-0.023346
56,0.201572
57,-0.160983
58,-0.025483
59,0.986496
60,0.72694
61,1.076524
62,1.437247
63,0.854353
64,0.269169
65,-0.311131
66,-0.672007
67,-0.398108
68,-0.361334
69,-0.254826
70,-0.13077
71,-0.141146
72,0.590982
73,0.362554
74,0.597696
75,0.65568
76,-0.151064
77,0.160983
78,1.14992
79,1.236744
80,1.914397
81,2.095827
82,2.284276
83,2.104982
84,2.24918
85,1.994812
86,2.949111
87,2.708934
88,1.949187
89,0.600748
90,1.499046
91,0.180209
92,0.171664
93,-0.130465
94,0.576944
95,0.086976
96,1.499962
97,1.029831
98,2.02594
99,1.097581
100,1.583124
101,1.148241
102,0.691539
103,-0.552224
104,-0.154421
105,-0.128328
106,0.155337
107,1.911803
108,1.584497
109,2.036469
110,2.673991
111,1.715114
112,2.343023
113,2.428168
114,2.43946
115,2.054017
116,2.584115
117,2.184939
118,2.736248
119,2.323186
120,1.126879
121,-0.045014
122,-1.109636
123,-0.594186
124,-0.065156
125,-0.108186
126,1.428855
127,1.905089
128,1.952392
129,2.079042
130,2.054322
131,0.993973
132,1.545434
133,2.783703
134,1.067979
135,2.212863
136,1.105516
137,1.764706
138,1.70779
139,2.069123
140,1.177539
141,1.177386
142,1.177234
143,1.177539
144,2.023957
145,2.406806
146,1.677272
147,2.132753
148,1.728389
149,2.189822
150,1.336843
151,1.78088
152,0.910658
153,1.336995
154,1.336995
155,1.337148
156,1.780575
157,1.352712
158,1.35256
159,1.798123
160,1.368582
161,1.368124
162,1.815671
163,1.833371
164,2.308537
165,1.431907
166,2.347906
167,1.464408
168,1.924926
169,1.850614
170,1.125505
171,1.480583
172,1.480583
173,1.02266
174,1.464256
175,1.008164
176,1.448692
177,0.993362
178,0.979629
179,1.415122
180,0.965286
181,1.851377
182,0.519265
183,1.383688
184,1.38323
185,0.495766
186,0.910201
187,0.897078
188,0.88365
189,0.870222
190,0.857404
191,0.844434
192,0.831312
193,1.245594
194,0.818952
195,1.231403
196,1.231403
197,0.890974
198,1.220417
199,1.220264
200,1.219348
201,2.427863
202,2.573434
203,3.54406
204,2.745708
205,3.658808
206,3.400626
207,3.991913
208,3.631952
209,3.132525
210,2.796979
211,2.843366
212,2.379797
213,2.914321
214,1.931945
215,2.963302
216,1.972534
217,1.972076
218,1.972381
219,1.972992
220,2.489815
221,1.992981
222,1.993591
223,1.993286
224,1.992828
225,1.993439
226,-0.268101
227,-0.482643
228,-0.083162
229,1.219654
230,1.203479
231,1.18761
232,1.651026
233,1.651026
234,1.651026
235,1.651026
236,1.650568
237,2.134432
238,1.188373
239,2.620432
240,1.204242
241,2.154421
242,1.204089
243,1.187762
244,2.133211
245,2.6421
246,2.687419
247,2.732586
248,2.778363
249,2.824445
250,2.871748
251,2.919814
252,2.968338
253,1.977264
254,3.015946
255,3.06569
256,2.059205
257,2.585641
258,2.60914
259,2.102388
260,2.10193
261,2.101778
262,1.575799
263,2.080873
264,1.555962
265,2.059358
266,1.537804
267,2.038758
268,1.51873
269,1.499351
270,2.517281
271,0.985122
272,1.976501
273,1.463035
274,1.444572
275,1.935912
276,1.426871
277,1.40856
278,1.391165
279,1.373617
280,1.857023
281,0.857862
282,1.320363
283,1.799039
284,1.304036
285,1.286183
286,2.256809
287,2.276799
288,1.799344
289,2.298161
290,1.817807
291,1.818265
292,2.319371
293,1.837339
294,1.837034
295,2.340581
296,1.355917
297,2.341497
298,1.355459
