Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],14,,
Maximum concentration in negative electrode [mol.m-3],31920,,
Measured negative electrode diffusivity [m2.s-1],[data]measured_graphite_diffusivity_Ecker2015,,
Negative electrode diffusivity [m2.s-1],[function]graphite_diffusivity_Ecker2015,,
Negative electrode OCP [V],[function]graphite_ocp_Ecker2015_function,,
,,,
# Microstructure,,,
Negative electrode porosity,0.329,,
Negative electrode active material volume fraction, 0.555, (1-eps_n) * (1- inactive),
Negative particle radius [m],1.37E-05,,
Negative particle distribution in x,1,,
Negative electrode surface area density [m-1], 81548.5,,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Ecker paper uses tortuosity measurment instead,
Negative electrode Bruggeman coefficient (electrode),0,Ecker paper uses tortuosity measurment instead,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
# Negative electrode charge transfer coefficient,0.489,,
,,,
# Thermal parameters,,,
Negative electrode OCP entropic change [V.K-1],[function]graphite_entropic_change_NULL,,
,,,
# Activation energies,,,
Reference temperature [K],296.15,23C,
Negative electrode reaction rate,[function]graphite_electrolyte_reaction_rate_Ecker2015,,
Negative reaction rate activation energy [J.mol-1],53400,,
Negative solid diffusion activation energy [J.mol-1],3.03E+04,,
