Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Macroscale geometry,,,
Negative current collector thickness [m],1.40E-05,,
Negative electrode thickness [m],7.4E-05,,
Separator thickness [m],2E-05,,
Positive electrode thickness [m],5.4E-05,,
Positive current collector thickness [m],2.5E-05,,
Electrode height [m],1.01E-01,,
Electrode width [m],8.50E-02,,
,,,
# Electrical,,,
Cell capacity [A.h], 0.15625, 0.326 7.5 [A.h] cell with 23 layers
Typical current [A], 0.15652, 0.15625 0.325 1C current
